Date,Disease,Age Group,Admissions
2020-09-29,Infections,19-35,24
2020-09-29,Flu,nan,8
2020-09-30,Infections,nan,21
2020-09-30,Pneumonia,nan,4
2020-09-30,Pneumonia,0-18,10
2020-09-30,Pneumonia,66+,7
2020-09-30,Diabetes,nan,5
2020-09-30,Cardiac Issues,19-35,11
2020-09-30,Infections,51-65,14
2020-09-30,Diabetes,51-65,9
2020-09-30,Pneumonia,66+,12
2020-09-30,Infections,66+,17
2020-09-30,Diabetes,nan,8
2020-09-30,Cardiac Issues,19-35,10
2020-09-30,Flu,nan,1
2020-09-30,Flu,nan,2
2020-09-30,Cardiac Issues,19-35,7
2020-09-30,Pneumonia,19-35,8
2020-10-01,Pneumonia,36-50,9
2020-10-01,Infections,0-18,16
2020-10-01,Flu,66+,10
2020-10-01,Cardiac Issues,36-50,1
2020-10-01,Infections,51-65,11
2020-10-01,Flu,36-50,8
2020-10-01,Infections,66+,10
2020-10-01,Diabetes,36-50,1
2020-10-01,Diabetes,66+,6
2020-10-01,Pneumonia,nan,3
2020-10-02,Diabetes,0-18,5
2020-10-02,Diabetes,19-35,6
2020-10-02,Pneumonia,19-35,12
2020-10-02,Infections,36-50,18
2020-10-02,Cardiac Issues,66+,8
2020-10-02,Cardiac Issues,nan,14
2020-10-02,Diabetes,19-35,8
2020-10-02,Infections,66+,20
2020-10-02,Diabetes,36-50,3
2020-10-02,Infections,36-50,28
2020-10-02,Pneumonia,66+,12
2020-10-02,Pneumonia,51-65,4
2020-10-02,Pneumonia,66+,1
2020-10-02,Diabetes,51-65,13
2020-10-02,Infections,36-50,13
2020-10-03,Flu,36-50,2
2020-10-03,Flu,0-18,1
2020-10-03,Pneumonia,36-50,11
2020-10-03,Flu,19-35,6
2020-10-03,Flu,66+,7
2020-10-03,Cardiac Issues,51-65,9
2020-10-03,Infections,36-50,24
2020-10-03,Pneumonia,36-50,8
2020-10-03,Pneumonia,19-35,6
2020-10-03,Flu,0-18,3
2020-10-03,Infections,36-50,29
2020-10-03,Pneumonia,19-35,9
2020-10-03,Infections,nan,15
2020-10-03,Flu,51-65,11
2020-10-04,Infections,0-18,26
2020-10-04,Diabetes,36-50,9
2020-10-04,Infections,36-50,22
2020-10-04,Pneumonia,nan,12
2020-10-04,Infections,0-18,19
2020-10-04,Diabetes,0-18,14
2020-10-04,Pneumonia,36-50,1
2020-10-04,Infections,51-65,19
2020-10-04,Flu,36-50,12
2020-10-04,Diabetes,0-18,3
2020-10-04,Pneumonia,0-18,2
2020-10-04,Diabetes,19-35,8
2020-10-04,Cardiac Issues,66+,6
2020-10-04,Cardiac Issues,19-35,1
2020-10-04,Diabetes,66+,9
2020-10-05,Cardiac Issues,19-35,14
2020-10-05,Cardiac Issues,19-35,11
2020-10-05,Flu,51-65,8
2020-10-05,Pneumonia,66+,13
2020-10-05,Flu,36-50,11
2020-10-06,Flu,nan,6
2020-10-06,Infections,nan,14
2020-10-06,Cardiac Issues,19-35,4
2020-10-06,Pneumonia,66+,10
2020-10-06,Diabetes,19-35,7
2020-10-06,Pneumonia,19-35,2
2020-10-06,Flu,nan,5
2020-10-06,Diabetes,66+,1
2020-10-06,Flu,0-18,6
2020-10-06,Flu,19-35,13
2020-10-07,Diabetes,0-18,5
2020-10-07,Flu,nan,9
2020-10-07,Flu,0-18,8
2020-10-07,Flu,51-65,5
2020-10-07,Flu,0-18,9
2020-10-07,Flu,19-35,10
2020-10-07,Cardiac Issues,0-18,3
2020-10-07,Diabetes,36-50,13
2020-10-07,Pneumonia,19-35,9
2020-10-07,Flu,51-65,14
2020-10-07,Diabetes,66+,1
2020-10-07,Flu,51-65,12
2020-10-07,Diabetes,19-35,3
2020-10-07,Cardiac Issues,0-18,2
2020-10-07,Diabetes,0-18,2
2020-10-08,Pneumonia,0-18,11
2020-10-08,Diabetes,nan,8
2020-10-08,Infections,nan,25
2020-10-08,Pneumonia,0-18,8
2020-10-08,Flu,nan,12
2020-10-08,Flu,nan,9
2020-10-08,Diabetes,66+,14
2020-10-08,Cardiac Issues,36-50,6
2020-10-08,Pneumonia,66+,10
2020-10-09,Cardiac Issues,51-65,14
2020-10-09,Flu,36-50,13
2020-10-09,Cardiac Issues,66+,13
2020-10-09,Infections,19-35,25
2020-10-09,Diabetes,36-50,4
2020-10-09,Flu,36-50,4
2020-10-09,Diabetes,nan,6
2020-10-09,Flu,66+,11
2020-10-09,Cardiac Issues,0-18,6
2020-10-09,Infections,36-50,25
2020-10-09,Cardiac Issues,36-50,5
2020-10-09,Flu,36-50,4
2020-10-09,Infections,19-35,13
2020-10-09,Cardiac Issues,19-35,1
2020-10-09,Infections,19-35,10
2020-10-09,Diabetes,51-65,11
2020-10-09,Infections,19-35,26
2020-10-09,Infections,66+,18
2020-10-09,Infections,36-50,25
2020-10-10,Pneumonia,19-35,12
2020-10-10,Cardiac Issues,nan,10
2020-10-10,Infections,0-18,26
2020-10-10,Cardiac Issues,nan,4
2020-10-10,Infections,36-50,16
2020-10-10,Flu,36-50,13
2020-10-10,Pneumonia,66+,7
2020-10-10,Pneumonia,19-35,2
2020-10-10,Cardiac Issues,0-18,14
2020-10-10,Cardiac Issues,0-18,14
2020-10-10,Infections,nan,23
2020-10-10,Diabetes,66+,11
2020-10-10,Cardiac Issues,0-18,11
2020-10-10,Pneumonia,nan,11
2020-10-10,Flu,0-18,2
2020-10-11,Diabetes,nan,6
2020-10-11,Infections,36-50,13
2020-10-11,Cardiac Issues,51-65,3
2020-10-11,Pneumonia,0-18,1
2020-10-11,Pneumonia,51-65,7
2020-10-12,Diabetes,0-18,5
2020-10-12,Cardiac Issues,66+,4
2020-10-12,Pneumonia,36-50,4
2020-10-12,Cardiac Issues,66+,1
2020-10-12,Diabetes,19-35,8
2020-10-12,Infections,51-65,29
2020-10-12,Cardiac Issues,66+,4
2020-10-12,Flu,51-65,3
2020-10-12,Pneumonia,19-35,8
2020-10-12,Pneumonia,0-18,3
2020-10-12,Infections,19-35,21
2020-10-12,Flu,36-50,3
2020-10-12,Infections,36-50,10
2020-10-12,Diabetes,66+,13
2020-10-12,Pneumonia,19-35,4
2020-10-12,Flu,nan,2
2020-10-12,Cardiac Issues,0-18,6
2020-10-13,Infections,0-18,13
2020-10-13,Infections,66+,20
2020-10-13,Infections,19-35,18
2020-10-13,Pneumonia,36-50,6
2020-10-13,Cardiac Issues,0-18,13
2020-10-13,Diabetes,36-50,1
2020-10-13,Diabetes,66+,6
2020-10-14,Flu,nan,14
2020-10-14,Flu,0-18,11
2020-10-14,Diabetes,0-18,13
2020-10-14,Flu,51-65,7
2020-10-14,Cardiac Issues,nan,7
2020-10-14,Flu,0-18,13
2020-10-14,Infections,nan,25
2020-10-15,Flu,nan,1
2020-10-15,Infections,51-65,19
2020-10-15,Pneumonia,0-18,13
2020-10-15,Cardiac Issues,36-50,2
2020-10-15,Diabetes,19-35,1
2020-10-15,Diabetes,36-50,7
2020-10-15,Infections,66+,10
2020-10-15,Pneumonia,0-18,8
2020-10-15,Infections,36-50,16
2020-10-15,Infections,66+,27
2020-10-15,Infections,0-18,14
2020-10-15,Flu,51-65,13
2020-10-15,Diabetes,51-65,2
2020-10-15,Infections,0-18,14
2020-10-15,Pneumonia,19-35,10
2020-10-15,Flu,51-65,7
2020-10-15,Pneumonia,0-18,1
2020-10-15,Diabetes,66+,13
2020-10-15,Pneumonia,19-35,14
2020-10-16,Diabetes,19-35,12
2020-10-16,Flu,19-35,9
2020-10-16,Cardiac Issues,51-65,3
2020-10-16,Pneumonia,0-18,10
2020-10-16,Cardiac Issues,19-35,14
2020-10-16,Infections,36-50,11
2020-10-16,Flu,19-35,8
2020-10-16,Flu,66+,2
2020-10-16,Infections,36-50,24
2020-10-16,Cardiac Issues,0-18,5
2020-10-16,Diabetes,19-35,5
2020-10-16,Flu,0-18,9
2020-10-16,Flu,19-35,3
2020-10-16,Diabetes,19-35,9
2020-10-16,Pneumonia,66+,6
2020-10-16,Flu,51-65,9
2020-10-16,Diabetes,nan,4
2020-10-16,Cardiac Issues,36-50,2
2020-10-16,Pneumonia,51-65,8
2020-10-17,Infections,66+,10
2020-10-17,Cardiac Issues,66+,4
2020-10-17,Pneumonia,nan,3
2020-10-17,Infections,0-18,21
2020-10-17,Cardiac Issues,0-18,6
2020-10-18,Pneumonia,36-50,4
2020-10-18,Diabetes,nan,1
2020-10-18,Pneumonia,nan,4
2020-10-18,Cardiac Issues,51-65,13
2020-10-18,Cardiac Issues,36-50,4
2020-10-18,Flu,36-50,5
2020-10-18,Flu,0-18,9
2020-10-18,Cardiac Issues,0-18,12
2020-10-18,Flu,66+,8
2020-10-18,Pneumonia,66+,11
2020-10-18,Flu,0-18,12
2020-10-18,Flu,66+,11
2020-10-18,Pneumonia,0-18,2
2020-10-18,Flu,36-50,6
2020-10-18,Infections,36-50,14
2020-10-18,Cardiac Issues,19-35,2
2020-10-19,Flu,19-35,13
2020-10-19,Flu,nan,9
2020-10-19,Cardiac Issues,66+,9
2020-10-19,Cardiac Issues,51-65,13
2020-10-19,Diabetes,0-18,5
2020-10-19,Cardiac Issues,0-18,13
2020-10-19,Infections,51-65,18
2020-10-19,Cardiac Issues,36-50,1
2020-10-19,Flu,nan,2
2020-10-20,Diabetes,0-18,9
2020-10-20,Pneumonia,19-35,13
2020-10-20,Cardiac Issues,51-65,13
2020-10-20,Flu,19-35,14
2020-10-20,Cardiac Issues,66+,14
2020-10-20,Cardiac Issues,nan,2
2020-10-20,Infections,66+,19
2020-10-20,Flu,66+,9
2020-10-20,Pneumonia,66+,13
2020-10-20,Flu,nan,4
2020-10-20,Flu,0-18,4
2020-10-20,Pneumonia,19-35,5
2020-10-21,Cardiac Issues,66+,8
2020-10-21,Cardiac Issues,0-18,1
2020-10-21,Diabetes,51-65,5
2020-10-21,Infections,66+,18
2020-10-21,Cardiac Issues,nan,7
2020-10-21,Infections,66+,26
2020-10-21,Flu,nan,9
2020-10-21,Cardiac Issues,66+,2
2020-10-21,Pneumonia,66+,13
2020-10-21,Infections,66+,24
2020-10-21,Cardiac Issues,19-35,8
2020-10-21,Diabetes,19-35,10
2020-10-21,Flu,66+,5
2020-10-21,Infections,0-18,17
2020-10-21,Cardiac Issues,36-50,7
2020-10-22,Cardiac Issues,36-50,13
2020-10-22,Pneumonia,36-50,11
2020-10-22,Flu,51-65,6
2020-10-22,Flu,66+,10
2020-10-22,Diabetes,0-18,3
2020-10-22,Cardiac Issues,51-65,11
2020-10-22,Flu,0-18,11
2020-10-22,Cardiac Issues,66+,10
2020-10-23,Flu,51-65,13
2020-10-23,Flu,66+,5
2020-10-23,Cardiac Issues,nan,8
2020-10-23,Diabetes,51-65,3
2020-10-23,Diabetes,nan,3
2020-10-23,Flu,66+,13
2020-10-23,Diabetes,nan,6
2020-10-23,Pneumonia,66+,7
2020-10-24,Pneumonia,19-35,13
2020-10-24,Infections,66+,28
2020-10-24,Pneumonia,51-65,3
2020-10-24,Flu,nan,13
2020-10-24,Pneumonia,nan,7
2020-10-24,Cardiac Issues,0-18,7
2020-10-24,Cardiac Issues,36-50,12
2020-10-24,Diabetes,36-50,8
2020-10-24,Flu,19-35,2
2020-10-24,Infections,66+,28
2020-10-24,Diabetes,nan,8
2020-10-24,Diabetes,66+,8
2020-10-24,Pneumonia,36-50,2
2020-10-24,Flu,19-35,9
2020-10-24,Diabetes,51-65,13
2020-10-25,Pneumonia,0-18,4
2020-10-25,Flu,51-65,9
2020-10-25,Diabetes,0-18,12
2020-10-25,Flu,19-35,13
2020-10-25,Flu,66+,2
2020-10-25,Pneumonia,51-65,8
2020-10-26,Cardiac Issues,51-65,13
2020-10-26,Flu,0-18,2
2020-10-26,Cardiac Issues,0-18,13
2020-10-26,Infections,nan,10
2020-10-26,Infections,66+,12
2020-10-26,Pneumonia,36-50,5
2020-10-26,Cardiac Issues,66+,13
2020-10-26,Pneumonia,19-35,6
2020-10-26,Diabetes,0-18,12
2020-10-26,Diabetes,nan,7
2020-10-26,Cardiac Issues,nan,6
2020-10-26,Infections,66+,10
2020-10-26,Cardiac Issues,36-50,13
2020-10-26,Diabetes,0-18,4
2020-10-26,Pneumonia,36-50,11
2020-10-26,Diabetes,0-18,3
2020-10-26,Diabetes,nan,6
2020-10-27,Flu,51-65,7
2020-10-27,Flu,66+,9
2020-10-27,Pneumonia,66+,12
2020-10-27,Infections,66+,27
2020-10-27,Diabetes,36-50,3
2020-10-27,Pneumonia,0-18,7
2020-10-27,Flu,36-50,12
2020-10-27,Pneumonia,0-18,9
2020-10-27,Infections,36-50,11
2020-10-27,Flu,66+,11
2020-10-27,Cardiac Issues,19-35,1
2020-10-28,Pneumonia,nan,5
2020-10-28,Cardiac Issues,nan,12
2020-10-28,Cardiac Issues,36-50,13
2020-10-28,Diabetes,0-18,4
2020-10-28,Flu,51-65,2
2020-10-28,Diabetes,nan,6
2020-10-29,Flu,36-50,5
2020-10-29,Flu,nan,14
2020-10-29,Flu,nan,3
2020-10-29,Pneumonia,66+,3
2020-10-29,Cardiac Issues,19-35,8
2020-10-29,Infections,36-50,25
2020-10-29,Pneumonia,66+,4
2020-10-29,Flu,nan,10
2020-10-29,Flu,51-65,8
2020-10-30,Cardiac Issues,66+,2
2020-10-30,Pneumonia,66+,8
2020-10-30,Flu,36-50,11
2020-10-30,Pneumonia,19-35,13
2020-10-30,Diabetes,0-18,6
2020-10-30,Diabetes,51-65,10
2020-10-30,Pneumonia,19-35,4
2020-10-31,Flu,19-35,8
2020-10-31,Cardiac Issues,0-18,8
2020-10-31,Cardiac Issues,0-18,2
2020-10-31,Infections,19-35,25
2020-10-31,Diabetes,nan,4
2020-10-31,Flu,51-65,6
2020-10-31,Pneumonia,36-50,10
2020-10-31,Flu,51-65,3
2020-10-31,Infections,nan,12
2020-10-31,Cardiac Issues,19-35,5
2020-10-31,Flu,0-18,11
2020-10-31,Cardiac Issues,51-65,13
2020-10-31,Cardiac Issues,51-65,7
2020-10-31,Infections,nan,18
2020-10-31,Diabetes,66+,4
2020-10-31,Cardiac Issues,19-35,1
2020-10-31,Cardiac Issues,36-50,7
2020-10-31,Infections,51-65,10
2020-10-31,Cardiac Issues,66+,8
2020-11-01,Diabetes,36-50,8
2020-11-01,Cardiac Issues,36-50,1
2020-11-01,Flu,0-18,18
2020-11-01,Infections,19-35,22
2020-11-01,Cardiac Issues,66+,4
2020-11-01,Flu,51-65,29
2020-11-01,Cardiac Issues,0-18,4
2020-11-01,Cardiac Issues,0-18,2
2020-11-01,Cardiac Issues,66+,8
2020-11-01,Flu,51-65,23
2020-11-01,Diabetes,66+,7
2020-11-01,Infections,51-65,24
2020-11-01,Flu,36-50,22
2020-11-02,Infections,nan,24
2020-11-02,Pneumonia,nan,9
2020-11-02,Flu,0-18,26
2020-11-02,Flu,51-65,22
2020-11-02,Diabetes,nan,10
2020-11-02,Cardiac Issues,66+,2
2020-11-02,Diabetes,36-50,7
2020-11-02,Pneumonia,nan,3
2020-11-02,Pneumonia,51-65,7
2020-11-02,Cardiac Issues,19-35,14
2020-11-02,Diabetes,66+,8
2020-11-02,Diabetes,51-65,13
2020-11-02,Diabetes,66+,7
2020-11-02,Infections,nan,28
2020-11-02,Pneumonia,66+,11
2020-11-02,Cardiac Issues,66+,14
2020-11-02,Cardiac Issues,36-50,10
2020-11-03,Infections,0-18,18
2020-11-03,Infections,0-18,19
2020-11-03,Infections,nan,14
2020-11-03,Infections,36-50,17
2020-11-03,Diabetes,19-35,13
2020-11-03,Infections,36-50,17
2020-11-03,Infections,0-18,21
2020-11-03,Cardiac Issues,19-35,2
2020-11-03,Flu,19-35,11
2020-11-03,Cardiac Issues,36-50,4
2020-11-03,Flu,19-35,29
2020-11-03,Flu,nan,27
2020-11-03,Pneumonia,36-50,13
2020-11-03,Flu,19-35,29
2020-11-03,Diabetes,66+,2
2020-11-04,Cardiac Issues,19-35,9
2020-11-04,Diabetes,0-18,13
2020-11-04,Diabetes,36-50,12
2020-11-04,Pneumonia,nan,6
2020-11-04,Pneumonia,51-65,5
2020-11-04,Pneumonia,19-35,7
2020-11-04,Cardiac Issues,51-65,10
2020-11-04,Infections,0-18,29
2020-11-04,Cardiac Issues,nan,2
2020-11-04,Infections,51-65,17
2020-11-04,Cardiac Issues,51-65,2
2020-11-04,Cardiac Issues,19-35,9
2020-11-05,Flu,66+,23
2020-11-05,Cardiac Issues,19-35,8
2020-11-05,Pneumonia,36-50,12
2020-11-05,Flu,0-18,27
2020-11-05,Pneumonia,36-50,12
2020-11-05,Flu,nan,14
2020-11-05,Cardiac Issues,0-18,8
2020-11-05,Diabetes,36-50,6
2020-11-05,Flu,36-50,21
2020-11-05,Infections,51-65,10
2020-11-05,Cardiac Issues,nan,8
2020-11-05,Diabetes,66+,9
2020-11-05,Diabetes,51-65,4
2020-11-05,Diabetes,nan,11
2020-11-05,Infections,66+,18
2020-11-05,Pneumonia,36-50,7
2020-11-05,Flu,0-18,29
2020-11-06,Pneumonia,36-50,2
2020-11-06,Flu,19-35,11
2020-11-06,Infections,0-18,11
2020-11-06,Diabetes,19-35,10
2020-11-06,Infections,0-18,26
2020-11-06,Diabetes,0-18,2
2020-11-06,Diabetes,0-18,4
2020-11-06,Cardiac Issues,0-18,7
2020-11-06,Pneumonia,51-65,6
2020-11-06,Infections,51-65,15
2020-11-06,Pneumonia,36-50,8
2020-11-06,Infections,36-50,29
2020-11-06,Pneumonia,66+,12
2020-11-06,Flu,51-65,20
2020-11-07,Pneumonia,51-65,14
2020-11-07,Flu,36-50,13
2020-11-07,Diabetes,19-35,3
2020-11-07,Flu,19-35,13
2020-11-07,Pneumonia,19-35,5
2020-11-07,Pneumonia,nan,10
2020-11-07,Cardiac Issues,19-35,1
2020-11-07,Diabetes,36-50,2
2020-11-07,Flu,51-65,28
2020-11-07,Flu,19-35,20
2020-11-07,Flu,51-65,22
2020-11-07,Cardiac Issues,19-35,9
2020-11-07,Infections,51-65,28
2020-11-07,Pneumonia,0-18,12
2020-11-08,Infections,nan,14
2020-11-08,Diabetes,nan,5
2020-11-08,Cardiac Issues,51-65,13
2020-11-08,Flu,66+,19
2020-11-08,Pneumonia,66+,10
2020-11-08,Infections,36-50,19
2020-11-09,Flu,66+,15
2020-11-09,Cardiac Issues,36-50,9
2020-11-09,Cardiac Issues,36-50,2
2020-11-09,Infections,51-65,17
2020-11-09,Cardiac Issues,36-50,4
2020-11-09,Cardiac Issues,19-35,2
2020-11-09,Diabetes,nan,11
2020-11-09,Cardiac Issues,66+,3
2020-11-09,Pneumonia,0-18,1
2020-11-09,Flu,0-18,24
2020-11-10,Cardiac Issues,nan,3
2020-11-10,Infections,36-50,10
2020-11-10,Diabetes,51-65,2
2020-11-10,Pneumonia,36-50,7
2020-11-10,Diabetes,0-18,6
2020-11-10,Flu,0-18,28
2020-11-10,Cardiac Issues,66+,8
2020-11-10,Flu,0-18,20
2020-11-10,Cardiac Issues,66+,5
2020-11-10,Pneumonia,51-65,1
2020-11-10,Flu,66+,19
2020-11-10,Diabetes,nan,1
2020-11-10,Pneumonia,66+,2
2020-11-10,Pneumonia,0-18,6
2020-11-10,Infections,66+,25
2020-11-10,Cardiac Issues,nan,11
2020-11-10,Cardiac Issues,0-18,2
2020-11-10,Infections,66+,19
2020-11-11,Pneumonia,nan,1
2020-11-11,Flu,0-18,11
2020-11-11,Pneumonia,51-65,7
2020-11-11,Infections,66+,21
2020-11-11,Flu,51-65,25
2020-11-11,Cardiac Issues,19-35,12
2020-11-11,Infections,19-35,11
2020-11-11,Infections,36-50,24
2020-11-11,Flu,19-35,12
2020-11-12,Pneumonia,36-50,11
2020-11-12,Cardiac Issues,nan,4
2020-11-12,Infections,0-18,14
2020-11-12,Diabetes,nan,2
2020-11-12,Cardiac Issues,0-18,2
2020-11-12,Pneumonia,19-35,13
2020-11-12,Infections,36-50,14
2020-11-12,Infections,66+,12
2020-11-12,Cardiac Issues,51-65,7
2020-11-12,Diabetes,51-65,12
2020-11-12,Pneumonia,19-35,4
2020-11-12,Diabetes,0-18,10
2020-11-12,Flu,0-18,17
2020-11-13,Cardiac Issues,19-35,12
2020-11-13,Diabetes,36-50,10
2020-11-13,Diabetes,51-65,5
2020-11-13,Flu,51-65,23
2020-11-13,Cardiac Issues,66+,10
2020-11-13,Infections,0-18,13
2020-11-13,Pneumonia,36-50,8
2020-11-13,Flu,0-18,22
2020-11-13,Flu,19-35,22
2020-11-14,Flu,36-50,16
2020-11-14,Pneumonia,36-50,11
2020-11-14,Infections,51-65,19
2020-11-14,Infections,51-65,19
2020-11-14,Diabetes,19-35,4
2020-11-14,Diabetes,66+,5
2020-11-14,Infections,51-65,21
2020-11-14,Pneumonia,36-50,13
2020-11-14,Pneumonia,19-35,9
2020-11-14,Infections,19-35,18
2020-11-14,Infections,51-65,10
2020-11-14,Diabetes,nan,6
2020-11-15,Cardiac Issues,36-50,3
2020-11-15,Pneumonia,36-50,2
2020-11-15,Pneumonia,66+,10
2020-11-15,Pneumonia,36-50,10
2020-11-15,Diabetes,36-50,7
2020-11-15,Flu,36-50,21
2020-11-15,Cardiac Issues,51-65,7
2020-11-16,Flu,nan,14
2020-11-16,Infections,36-50,25
2020-11-16,Diabetes,66+,4
2020-11-16,Infections,nan,22
2020-11-16,Pneumonia,19-35,13
2020-11-16,Diabetes,36-50,1
2020-11-16,Pneumonia,66+,9
2020-11-16,Pneumonia,36-50,12
2020-11-16,Infections,36-50,25
2020-11-16,Pneumonia,66+,1
2020-11-16,Diabetes,19-35,12
2020-11-16,Infections,nan,25
2020-11-16,Cardiac Issues,51-65,9
2020-11-17,Flu,51-65,15
2020-11-17,Cardiac Issues,36-50,9
2020-11-17,Infections,66+,15
2020-11-17,Cardiac Issues,0-18,9
2020-11-17,Flu,51-65,25
2020-11-17,Infections,66+,13
2020-11-17,Pneumonia,51-65,6
2020-11-17,Flu,51-65,26
2020-11-17,Cardiac Issues,0-18,13
2020-11-17,Diabetes,nan,9
2020-11-17,Pneumonia,36-50,2
2020-11-17,Pneumonia,19-35,11
2020-11-17,Cardiac Issues,36-50,7
2020-11-17,Cardiac Issues,19-35,13
2020-11-18,Cardiac Issues,51-65,1
2020-11-18,Diabetes,nan,12
2020-11-18,Diabetes,66+,9
2020-11-18,Diabetes,36-50,14
2020-11-18,Infections,nan,28
2020-11-18,Cardiac Issues,51-65,3
2020-11-18,Flu,36-50,13
2020-11-18,Cardiac Issues,66+,8
2020-11-18,Infections,66+,19
2020-11-18,Infections,66+,23
2020-11-18,Infections,51-65,15
2020-11-18,Infections,66+,27
2020-11-18,Diabetes,nan,11
2020-11-18,Flu,51-65,28
2020-11-18,Diabetes,36-50,7
2020-11-18,Cardiac Issues,51-65,10
2020-11-18,Diabetes,51-65,8
2020-11-19,Flu,36-50,14
2020-11-19,Diabetes,nan,12
2020-11-19,Pneumonia,nan,11
2020-11-19,Pneumonia,51-65,8
2020-11-19,Cardiac Issues,36-50,5
2020-11-19,Infections,0-18,22
2020-11-19,Cardiac Issues,66+,8
2020-11-19,Flu,51-65,23
2020-11-19,Infections,36-50,13
2020-11-19,Cardiac Issues,51-65,14
2020-11-19,Cardiac Issues,66+,13
2020-11-19,Flu,51-65,19
2020-11-19,Infections,51-65,23
2020-11-19,Flu,nan,23
2020-11-19,Flu,19-35,16
2020-11-20,Flu,36-50,22
2020-11-20,Flu,0-18,12
2020-11-20,Flu,66+,22
2020-11-20,Flu,nan,23
2020-11-20,Cardiac Issues,66+,14
2020-11-20,Infections,36-50,24
2020-11-20,Cardiac Issues,nan,7
2020-11-20,Flu,51-65,27
2020-11-20,Diabetes,51-65,13
2020-11-20,Cardiac Issues,66+,14
2020-11-20,Pneumonia,nan,1
2020-11-20,Pneumonia,66+,7
2020-11-20,Infections,nan,22
2020-11-20,Infections,51-65,18
2020-11-20,Diabetes,66+,11
2020-11-20,Diabetes,66+,7
2020-11-20,Infections,0-18,23
2020-11-20,Pneumonia,51-65,4
2020-11-20,Diabetes,66+,8
2020-11-21,Infections,66+,10
2020-11-21,Diabetes,19-35,4
2020-11-21,Infections,0-18,16
2020-11-21,Flu,0-18,12
2020-11-21,Diabetes,36-50,6
2020-11-22,Infections,36-50,15
2020-11-22,Infections,0-18,26
2020-11-22,Infections,36-50,27
2020-11-22,Cardiac Issues,19-35,7
2020-11-22,Infections,51-65,25
2020-11-22,Infections,0-18,27
2020-11-22,Cardiac Issues,51-65,5
2020-11-22,Infections,36-50,21
2020-11-22,Infections,66+,15
2020-11-22,Pneumonia,19-35,8
2020-11-22,Flu,36-50,13
2020-11-22,Infections,66+,17
2020-11-22,Flu,66+,12
2020-11-22,Flu,36-50,18
2020-11-23,Flu,19-35,24
2020-11-23,Diabetes,66+,14
2020-11-23,Diabetes,66+,4
2020-11-23,Pneumonia,51-65,1
2020-11-23,Diabetes,66+,6
2020-11-23,Cardiac Issues,51-65,6
2020-11-23,Diabetes,nan,7
2020-11-23,Diabetes,66+,12
2020-11-23,Infections,66+,20
2020-11-24,Flu,66+,24
2020-11-24,Pneumonia,51-65,10
2020-11-24,Diabetes,36-50,7
2020-11-24,Infections,0-18,29
2020-11-24,Flu,66+,29
2020-11-24,Cardiac Issues,36-50,7
2020-11-24,Infections,19-35,13
2020-11-24,Infections,66+,20
2020-11-24,Flu,51-65,25
2020-11-24,Flu,nan,13
2020-11-24,Pneumonia,nan,3
2020-11-24,Pneumonia,66+,6
2020-11-24,Cardiac Issues,66+,2
2020-11-24,Diabetes,66+,9
2020-11-24,Diabetes,51-65,10
2020-11-24,Pneumonia,36-50,3
2020-11-24,Flu,51-65,26
2020-11-24,Flu,19-35,18
2020-11-25,Infections,36-50,28
2020-11-25,Diabetes,36-50,6
2020-11-25,Diabetes,66+,11
2020-11-25,Infections,36-50,20
2020-11-25,Infections,0-18,18
2020-11-25,Flu,nan,10
2020-11-25,Cardiac Issues,19-35,5
2020-11-25,Pneumonia,nan,10
2020-11-25,Diabetes,0-18,6
2020-11-25,Cardiac Issues,0-18,8
2020-11-25,Flu,19-35,29
2020-11-25,Flu,66+,10
2020-11-25,Pneumonia,19-35,3
2020-11-26,Diabetes,19-35,11
2020-11-26,Infections,nan,10
2020-11-26,Diabetes,36-50,12
2020-11-26,Flu,36-50,28
2020-11-26,Pneumonia,51-65,12
2020-11-26,Pneumonia,66+,9
2020-11-26,Diabetes,19-35,7
2020-11-26,Cardiac Issues,nan,10
2020-11-26,Infections,0-18,15
2020-11-26,Infections,nan,12
2020-11-26,Cardiac Issues,36-50,3
2020-11-26,Pneumonia,36-50,11
2020-11-26,Pneumonia,36-50,8
2020-11-26,Infections,66+,13
2020-11-26,Infections,0-18,26
2020-11-26,Pneumonia,66+,7
2020-11-26,Flu,51-65,21
2020-11-26,Infections,36-50,21
2020-11-27,Pneumonia,51-65,12
2020-11-27,Pneumonia,19-35,9
2020-11-27,Infections,51-65,29
2020-11-27,Pneumonia,19-35,13
2020-11-27,Pneumonia,36-50,3
2020-11-27,Cardiac Issues,36-50,5
2020-11-27,Diabetes,36-50,8
2020-11-28,Pneumonia,36-50,6
2020-11-28,Infections,19-35,23
2020-11-28,Cardiac Issues,51-65,10
2020-11-28,Pneumonia,51-65,7
2020-11-28,Pneumonia,36-50,7
2020-11-28,Pneumonia,36-50,12
2020-11-28,Flu,51-65,28
2020-11-28,Infections,51-65,22
2020-11-28,Infections,36-50,20
2020-11-28,Flu,nan,27
2020-11-28,Diabetes,36-50,4
2020-11-28,Infections,19-35,10
2020-11-28,Diabetes,19-35,8
2020-11-28,Flu,51-65,11
2020-11-28,Cardiac Issues,51-65,10
2020-11-28,Flu,19-35,12
2020-11-28,Diabetes,51-65,12
2020-11-28,Cardiac Issues,0-18,12
2020-11-29,Pneumonia,nan,6
2020-11-29,Flu,0-18,21
